epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05454545454545455,0.8055555555555556,0.061111111111111116,0.967707363987685,0.8833667050780255,0.9013884684347331,0.914051724137931
0.05454545454545455,0.8055555555555556,0.07222222222222222,0.9675726172380913,0.8832387068182113,0.9013817101889385,0.914051724137931
0.05454545454545455,0.8055555555555556,0.08333333333333333,0.9674378704884976,0.8831107085583968,0.9013749500605387,0.914051724137931
0.05454545454545455,0.8055555555555556,0.09444444444444444,0.967303123738904,0.8829827102985826,0.9013681880487474,0.914051724137931
0.05454545454545455,0.8055555555555556,0.10555555555555556,0.9671683769893104,0.8828547120387684,0.9013614241527774,0.914051724137931
0.05454545454545455,0.8055555555555556,0.11666666666666665,0.9670336302397166,0.8827267137789541,0.9013546583718409,0.914051724137931
0.05454545454545455,0.8055555555555556,0.12777777777777777,0.966898883490123,0.8825987155191397,0.9013478907051494,0.914051724137931
0.05454545454545455,0.8055555555555556,0.1388888888888889,0.9667641367405292,0.8824707172593256,0.9013411211519156,0.914051724137931
0.05454545454545455,0.8055555555555556,0.15,0.9666293899909356,0.8823427189995112,0.901334349711349,0.914051724137931
0.05454545454545455,0.8333333333333334,0.05,0.9678623227497177,0.883462178938881,0.9014105881577484,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.061111111111111116,0.9677320675584438,0.883338447287727,0.9014040592405111,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.07222222222222222,0.9676018123671699,0.8832147156365733,0.9013975285654734,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.08333333333333333,0.9674715571758962,0.8830909839854194,0.9013909961319254,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.09444444444444444,0.9673413019846221,0.8829672523342657,0.9013844619391571,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.10555555555555556,0.9672110467933484,0.8828435206831119,0.901377925986457,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.11666666666666665,0.9670807916020743,0.882719789031958,0.9013713882731149,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.12777777777777777,0.9669505364108005,0.8825960573808044,0.9013648487984185,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.1388888888888889,0.9668202812195267,0.8824723257296504,0.9013583075616562,0.9139999999999999
0.05454545454545455,0.8333333333333334,0.15,0.9666900260282526,0.8823485940784968,0.901351764562116,0.9139999999999999
0.05454545454545455,0.8611111111111112,0.05,0.9678812307613542,0.8834317528882418,0.9014258855441046,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.061111111111111116,0.9677551773504441,0.8833120125806736,0.9014195693805173,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.07222222222222222,0.9676291239395338,0.8831922722731055,0.901413251571312,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.08333333333333333,0.9675030705286237,0.8830725319655371,0.9014069321158453,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.09444444444444444,0.9673770171177135,0.882952791657969,0.9014006110134741,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.10555555555555556,0.9672509637068031,0.8828330513504007,0.9013942882635542,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.11666666666666665,0.967124910295893,0.8827133110428326,0.9013879638654411,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.12777777777777777,0.9669988568849828,0.8825935707352643,0.9013816378184909,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.1388888888888889,0.9668728034740726,0.8824738304276961,0.9013753101220582,0.9139516129032258
0.05454545454545455,0.8611111111111112,0.15,0.9667467500631624,0.8823540901201281,0.9013689807754981,0.9139516129032258
0.05454545454545455,0.8888888888888888,0.05,0.9678989570222635,0.8834032284657678,0.9014411231462285,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.061111111111111116,0.9677768427804442,0.8832872300428112,0.9014350064224164,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.07222222222222222,0.9676547285386249,0.8831712316198544,0.901428888154791,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.08333333333333333,0.9675326142968056,0.8830552331968977,0.901422768342768,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.09444444444444444,0.9674105000549865,0.8829392347739412,0.9014166469857624,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.10555555555555556,0.9672883858131671,0.8828232363509845,0.9014105240831891,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.11666666666666665,0.9671662715713479,0.8827072379280276,0.9014043996344622,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.12777777777777777,0.9670441573295285,0.882591239505071,0.9013982736389968,0.9139062499999999
