epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05,0.9166666666666666,0.1388888888888889,0.9243941983309659,0.8420898679475999,0.8992344028317678,0.9138636363636363
0.05,0.9166666666666666,0.15,0.9241238591974431,0.8418332809989876,0.8992198066289073,0.9138636363636363
0.05,0.9444444444444444,0.05,0.9265926915785846,0.8441364166219436,0.8993677772405835,0.9138235294117647
0.05,0.9444444444444444,0.061111111111111116,0.9263303035960478,0.8438873763482904,0.8993536818612422,0.9138235294117647
0.05,0.9444444444444444,0.07222222222222222,0.9260679156135111,0.8436383360746372,0.8993395784944563,0.9138235294117647
0.05,0.9444444444444444,0.08333333333333333,0.9258055276309742,0.843389295800984,0.8993254671334343,0.9138235294117647
0.05,0.9444444444444444,0.09444444444444444,0.9255431396484375,0.8431402555273309,0.8993113477713772,0.9138235294117647
0.05,0.9444444444444444,0.10555555555555556,0.9252807516659007,0.8428912152536776,0.8992972204014785,0.9138235294117647
0.05,0.9444444444444444,0.11666666666666665,0.9250183636833639,0.8426421749800246,0.8992830850169237,0.9138235294117647
0.05,0.9444444444444444,0.12777777777777777,0.9247559757008271,0.8423931347063712,0.89926894161089,0.9138235294117647
0.05,0.9444444444444444,0.1388888888888889,0.9244935877182905,0.8421440944327181,0.8992547901765483,0.9138235294117647
0.05,0.9444444444444444,0.15,0.9242311997357537,0.8418950541590647,0.8992406307070604,0.9138235294117647
0.05,0.9722222222222222,0.05,0.9266264271763393,0.8441306209596489,0.8993845775849524,0.9137857142857142
0.05,0.9722222222222222,0.061111111111111116,0.9263715359933035,0.8438886961223857,0.899370890162805,0.9137857142857142
0.05,0.9722222222222222,0.07222222222222222,0.9261166448102679,0.8436467712851226,0.8993571952063946,0.9137857142857142
0.05,0.9722222222222222,0.08333333333333333,0.9258617536272322,0.8434048464478595,0.8993434927094984,0.9137857142857142
0.05,0.9722222222222222,0.09444444444444444,0.9256068624441964,0.8431629216105964,0.8993297826658874,0.9137857142857142
0.05,0.9722222222222222,0.10555555555555556,0.9253519712611608,0.8429209967733333,0.8993160650693248,0.9137857142857142
0.05,0.9722222222222222,0.11666666666666665,0.925097080078125,0.8426790719360701,0.8993023399135675,0.9137857142857142
